,[sec],Mean
0,0.0,718.669
1,1.012,694.653
2,2.024,700.64
3,3.037,694.497
4,4.0489999999999995,697.326
5,5.061,735.571
6,6.0729999999999995,691.135
7,7.085,671.215
8,8.097999999999999,656.408
9,9.11,656.025
10,10.122,702.6510000000001
11,11.134,693.952
12,12.145999999999999,749.703
13,13.159,731.9119999999999
14,14.171,700.067
15,15.183,688.118
16,16.195,673.941
17,17.207,652.438
18,18.22,641.935
19,19.232,641.135
20,20.244,635.0740000000001
21,21.256,628.434
22,22.268,646.524
23,23.281,647.6759999999999
24,24.293000000000003,690.821
25,25.305,680.5219999999999
26,26.316999999999997,693.316
27,27.329,676.918
28,28.342,685.615
29,29.354,3712.8320000000003
30,30.366,4081.265
31,31.378,3941.415
32,32.39,3317.8340000000003
33,33.403,2266.792
34,34.415,1657.545
35,35.427,1255.375
36,36.439,1090.587
37,37.451,973.775
38,38.464,870.9639999999999
39,39.476,841.368
40,40.488,802.0319999999999
41,41.5,778.659
42,42.512,863.105
43,43.525,912.4689999999999
44,44.537,951.9830000000001
45,45.549,893.497
46,46.56100000000001,947.836
47,47.573,923.322
48,48.586000000000006,1005.573
49,49.598,982.669
50,50.61,952.705
51,51.622,1018.8610000000001
52,52.635,1151.825
53,53.647,1106.152
54,54.659,1080.383
55,55.67100000000001,1207.619
56,56.683,1289.109
57,57.696000000000005,1240.225
58,58.708,1110.859
59,59.72,1018.318
60,60.732,911.802
61,61.744,882.975
62,62.757,886.128
63,63.769,837.0360000000001
64,64.781,829.0319999999999
65,65.793,930.7769999999999
66,66.805,1217.7069999999999
67,67.818,1307.069
68,68.83,1379.9389999999999
69,69.842,1293.771
70,70.854,1232.135
71,71.866,1090.68
72,72.87899999999999,954.705
73,73.891,882.949
74,74.903,1021.32
75,75.915,1450.49
76,76.92699999999999,4051.446
77,77.94,3454.0440000000003
78,78.952,2478.217
79,79.964,1733.933
80,80.976,1338.246
81,81.988,1059.752
82,83.001,975.638
83,84.01299999999999,878.429
84,85.025,811.722
85,86.037,853.909
86,87.04899999999999,865.72
87,88.06200000000001,918.175
88,89.074,913.495
89,90.086,911.448
90,91.098,870.337
91,92.11,1025.587
92,93.12299999999999,1251.065
93,94.135,1188.798
94,95.147,1162.92
95,96.15899999999999,1029.589
96,97.171,984.8
97,98.184,1029.823
98,99.196,959.307
99,100.208,2666.467
100,101.22,3814.429
101,102.23200000000001,3937.478
102,103.245,2869.0170000000003
103,104.257,2002.37
104,105.26899999999999,1334.8570000000002
105,106.281,1083.143
106,107.29299999999999,928.2460000000001
107,108.306,841.985
108,109.318,754.684
109,110.33,707.827
110,111.34200000000001,675.0060000000001
111,112.354,717.549
112,113.367,800.1410000000001
113,114.37899999999999,739.078
114,115.391,735.829
115,116.40299999999999,741.541
116,117.415,758.5160000000001
117,118.428,817.813
118,119.44,863.8760000000001
119,120.45200000000001,904.194
120,121.464,1268.552
121,122.476,1331.9389999999999
122,123.48899999999999,1302.596
123,124.501,1302.813
124,125.51299999999999,1159.39
125,126.525,1152.478
126,127.537,1098.815
127,128.55,943.1030000000001
128,129.562,923.9730000000001
129,130.57399999999998,979.335
130,131.586,923.7660000000001
131,132.59799999999998,915.872
132,133.611,902.28
133,134.623,835.067
134,135.635,841.966
135,136.64700000000002,907.013
136,137.659,852.368
137,138.672,840.566
138,139.684,888.802
139,140.696,869.7180000000001
140,141.708,1002.9789999999999
141,142.72,1045.573
142,143.733,1014.091
143,144.745,958.331
144,145.757,979.943
145,146.769,991.305
146,147.781,947.6360000000001
147,148.79399999999998,931.328
