,[sec],Mean
0,0.0,615.686
1,1.0659999999999998,625.939
2,2.1319999999999997,626.154
3,3.199,614.202
4,4.265,609.943
5,5.331,609.247
6,6.397,617.946
7,7.462999999999999,609.727
8,8.529,628.605
9,9.596,627.681
10,10.662,603.582
11,11.728,627.945
12,12.794,625.625
13,13.86,609.4019999999999
14,14.927,621.498
15,15.993,634.6759999999999
16,17.059,609.943
17,18.125,612.911
18,19.191,599.138
19,20.258,602.382
20,21.324,612.193
21,22.39,612.928
22,23.456,621.752
23,24.522,606.415
24,25.588,615.898
25,26.655,625.696
26,27.721,608.5790000000001
27,28.787,612.346
28,29.853,721.308
29,30.919,792.2339999999999
30,31.986,831.425
31,33.052,850.7080000000001
32,34.118,883.498
33,35.184,896.383
34,36.25,895.4830000000001
35,37.316,857.007
36,38.383,872.301
37,39.449,859.622
38,40.515,831.6410000000001
39,41.581,826.582
40,42.647,846.595
41,43.714,835.352
42,44.78,817.947
43,45.846000000000004,799.195
44,46.912,826.8530000000001
45,47.978,830.6619999999999
46,49.044,812.533
47,50.111000000000004,815.455
48,51.177,801.804
49,52.243,827.4739999999999
50,53.309,849.446
51,54.375,835.725
52,55.442,805.248
53,56.508,789.087
54,57.574,802.422
55,58.64,804.9830000000001
56,59.706,782.4860000000001
57,60.773,771.078
58,61.839,772.179
59,62.905,755.306
60,63.971000000000004,760.3989999999999
61,65.03699999999999,770.1139999999999
62,66.10300000000001,766.113
63,67.17,800.176
64,68.236,802.934
65,69.30199999999999,790.73
66,70.368,795.1139999999999
67,71.434,809.684
68,72.501,793.175
69,73.567,764.875
70,74.633,770.7919999999999
71,75.699,752.9760000000001
72,76.765,770.105
73,77.831,790.779
74,78.898,826.375
75,79.964,797.207
76,81.03,797.268
77,82.096,816.669
78,83.162,804.742
79,84.229,784.847
80,85.295,780.921
81,86.361,776.828
82,87.427,806.166
83,88.493,796.565
84,89.56,788.128
85,90.626,752.49
86,91.69200000000001,775.3660000000001
87,92.758,749.3960000000001
88,93.824,776.2819999999999
89,94.89,756.841
90,95.95700000000001,775.197
91,97.023,770.086
92,98.089,758.508
93,99.155,758.1560000000001
94,100.221,787.809
95,101.288,774.1610000000001
96,102.354,756.273
97,103.42,773.801
98,104.486,790.1310000000001
99,105.552,781.543
100,106.618,768.008
101,107.685,798.255
102,108.751,796.008
103,109.81700000000001,759.795
104,110.883,755.919
105,111.949,771.252
106,113.016,759.31
107,114.08200000000001,754.1560000000001
108,115.148,734.6289999999999
109,116.214,742.7339999999999
110,117.28,729.683
111,118.346,730.7330000000001
112,119.413,752.565
113,120.479,769.53
114,121.545,758.525
115,122.611,749.922
116,123.677,777.153
117,124.744,746.301
118,125.81,761.797
119,126.876,749.352
120,127.94200000000001,754.9119999999999
121,129.00799999999998,740.189
122,130.075,748.0930000000001
123,131.141,743.556
124,132.207,817.745
125,133.273,813.828
126,134.339,820.752
127,135.405,807.398
128,136.472,786.095
129,137.53799999999998,812.117
130,138.60399999999998,820.664
131,139.67,782.415
132,140.736,817.571
133,141.803,799.863
134,142.869,776.079
135,143.935,857.727
136,145.001,950.2230000000001
137,146.067,974.03
138,147.13299999999998,958.128
139,148.2,943.578
140,149.266,1041.0510000000002
