,[sec],Mean
0,0.0,244.1159
1,1.068,248.9324
2,2.137,244.7053
3,3.205,252.0048
4,4.274,250.9324
5,5.3420000000000005,245.3913
6,6.4110000000000005,241.285
7,7.479,241.4831
8,8.547,246.0097
9,9.616,243.5556
10,10.684000000000001,247.6473
11,11.753,247.6087
12,12.821,247.4589
13,13.889000000000001,244.2126
14,14.958,247.971
15,16.026,244.5072
16,17.095,240.6135
17,18.163,237.2077
18,19.232,243.942
19,20.3,245.0773
20,21.368000000000002,243.6956
21,22.436999999999998,245.401
22,23.505,244.1836
23,24.574,240.7874
24,25.642,245.0725
25,26.71,239.7778
26,27.779,235.7874
27,28.846999999999998,243.6618
28,29.916,238.6039
29,30.984,235.0676
30,32.053000000000004,241.2319
31,33.121,241.8551
32,34.189,239.9324
33,35.258,243.372
34,36.326,244.7923
35,37.395,242.4831
36,38.463,244.4396
37,39.531,249.5749
38,40.6,252.2126
39,41.668,249.2077
40,42.736999999999995,257.1691
41,43.805,254.8454
42,44.873999999999995,257.3913
43,45.942,255.8985
44,47.01,261.4445
45,48.07899999999999,262.8406
46,49.147,259.8019
47,50.216,260.6087
48,51.284,271.5411
49,52.353,274.029
50,53.42100000000001,270.5362
51,54.489,269.5894
52,55.558,269.5749
53,56.626000000000005,269.2319
54,57.695,269.8551
55,58.763000000000005,263.6039
56,59.831,262.7585
57,60.9,265.5652
58,61.968,266.0724
59,63.037,274.3044
60,64.105,270.2899
61,65.17399999999999,273.9952
62,66.242,272.4541
63,67.31,272.2415
64,68.37899999999999,274.0966
65,69.447,280.1208
66,70.516,280.4783
67,71.584,282.628
68,72.652,284.9227
69,73.721,281.8358
70,74.789,293.372
71,75.858,292.3237
72,76.926,298.9469
73,77.995,301.4203
74,79.063,299.8889
75,80.131,302.9372
76,81.2,310.0966
77,82.26799999999999,311.0821
78,83.337,318.0724
79,84.405,323.1353
80,85.473,321.2415
81,86.542,326.8647
82,87.61,314.6812
83,88.679,316.7005
84,89.74700000000001,322.6522
85,90.816,320.0097
86,91.884,321.9276
87,92.95200000000001,320.3478
88,94.021,315.7681
89,95.089,321.0628
90,96.15799999999999,320.942
91,97.226,314.8164
92,98.294,316.314
93,99.363,308.5749
94,100.431,300.2657
95,101.5,305.7053
96,102.568,299.4734
97,103.637,301.0435
98,104.705,300.3478
99,105.773,292.9276
100,106.84200000000001,299.1208
101,107.91,292.0966
102,108.979,291.2029
103,110.04700000000001,294.6667
104,111.116,296.1642
105,112.184,293.1449
106,113.25200000000001,297.8647
107,114.321,291.0483
108,115.389,293.657
109,116.458,299.9903
110,117.52600000000001,299.1208
111,118.594,298.0435
112,119.663,297.6425
113,120.73100000000001,285.6667
114,121.8,286.599
115,122.868,294.4879
116,123.93700000000001,302.0145
117,125.005,299.2512
118,126.073,300.0724
119,127.14200000000001,300.5411
120,128.21,299.2609
121,129.279,301.7488
122,130.347,306.6667
123,131.415,295.2995
124,132.484,299.8358
125,133.55200000000002,300.2899
126,134.621,300.1884
127,135.689,292.2995
128,136.75799999999998,298.6039
129,137.826,292.4541
130,138.894,299.8889
131,139.963,299.8841
132,141.031,294.5314
133,142.1,297.3478
134,143.168,298.5555
135,144.236,296.2029
136,145.305,296.43
137,146.373,300.5072
138,147.442,299.1594
139,148.51,293.5314
140,149.579,296.2657
