,[sec],Mean
0,0.0,303.341
1,1.062,303.777
2,2.125,302.781
3,3.187,302.632
4,4.25,302.941
5,5.312,302.113
6,6.375,301.255
7,7.437,302.286
8,8.499,302.385
9,9.562000000000001,303.19599999999997
10,10.624,302.781
11,11.687000000000001,303.652
12,12.749,302.443
13,13.812000000000001,304.961
14,14.874,303.76099999999997
15,15.936,305.968
16,16.999000000000002,304.312
17,18.061,304.586
18,19.124000000000002,304.462
19,20.186,304.277
20,21.249000000000002,303.4
21,22.311,302.122
22,23.374000000000002,303.675
23,24.436,302.897
24,25.498,304.454
25,26.561,304.557
26,27.623,301.978
27,28.686,301.441
28,29.748,494.67400000000004
29,30.811,804.303
30,31.873,1056.326
31,32.935,1233.507
32,33.998000000000005,1351.075
33,35.06,1434.655
34,36.123000000000005,1479.02
35,37.185,1505.559
36,38.248000000000005,1528.632
37,39.31,1539.639
38,40.372,1539.6860000000001
39,41.435,1534.8770000000002
40,42.497,1531.745
41,43.56,1517.142
42,44.622,1501.967
43,45.685,1481.9779999999998
44,46.747,1457.194
45,47.809,1433.829
46,48.872,1425.32
47,49.934,1405.825
48,50.997,1392.754
49,52.059,1383.2479999999998
50,53.122,1372.656
51,54.184,1354.59
52,55.246,1342.884
53,56.309,1331.457
54,57.371,1323.375
55,58.434,1312.47
56,59.496,1298.265
57,60.559,1287.988
58,61.621,1289.664
59,62.684,1273.577
60,63.746,1265.961
61,64.808,1262.638
62,65.87100000000001,1258.142
63,66.933,1238.7160000000001
64,67.99600000000001,1234.583
65,69.058,1221.068
66,70.12100000000001,1215.441
67,71.183,1207.9769999999999
68,72.245,1204.306
69,73.308,1196.09
70,74.37,1195.361
71,75.433,1188.344
72,76.495,1189.135
73,77.558,1183.4089999999999
74,78.62,1180.838
75,79.682,1167.1680000000001
76,80.745,1172.549
77,81.807,1174.2089999999998
78,82.87,1176.119
79,83.932,1173.565
80,84.995,1174.674
81,86.057,1170.2089999999998
82,87.119,1176.893
83,88.182,1180.181
84,89.244,1178.806
85,90.307,1180.122
86,91.369,1169.2160000000001
87,92.432,1176.103
88,93.494,1169.868
89,94.556,1166.281
90,95.619,1165.226
91,96.681,1157.422
92,97.744,1152.684
93,98.806,1136.009
94,99.869,1124.978
95,100.931,1118.156
96,101.994,1101.8010000000002
97,103.056,1097.258
98,104.118,1086.826
99,105.181,1078.875
100,106.243,1075.704
101,107.306,1062.641
102,108.368,1081.4569999999999
103,109.431,1084.085
104,110.493,1078.323
105,111.555,1077.978
106,112.618,1069.32
107,113.68,1061.4569999999999
108,114.743,1057.599
109,115.805,1045.403
110,116.868,1042.348
111,117.93,1033.087
112,118.992,1033.151
113,120.055,1035.344
114,121.117,1035.255
115,122.18,1034.5
116,123.242,1040.991
117,124.305,1030.485
118,125.367,1035.759
119,126.429,1026.52
120,127.492,1017.3960000000001
121,128.554,1019.378
122,129.61700000000002,1011.145
123,130.679,1008.801
124,131.74200000000002,998.9839999999999
125,132.804,995.313
126,133.866,989.291
127,134.929,988.7280000000001
128,135.991,991.184
129,137.054,993.709
130,138.116,996.112
131,139.179,995.538
132,140.241,978.628
133,141.304,962.538
134,142.366,950.922
135,143.428,935.541
136,144.491,919.971
137,145.553,905.699
138,146.616,897.316
139,147.678,886.171
140,148.741,885.584
