,[sec],Mean
0,0.0,544.9830000000001
1,1.067,531.297
2,2.133,536.823
3,3.2,538.923
4,4.266,536.077
5,5.332999999999999,532.66
6,6.4,530.8969999999999
7,7.466,535.63
8,8.533,528.033
9,9.599,539.5169999999999
10,10.665999999999999,540.453
11,11.732000000000001,542.543
12,12.799000000000001,539.363
13,13.866,538.587
14,14.932,545.13
15,15.999,541.73
16,17.065,547.023
17,18.132,540.623
18,19.199,549.253
19,20.265,591.38
20,21.331999999999997,612.923
21,22.398000000000003,618.997
22,23.465,623.813
23,24.531,606.95
24,25.598000000000003,594.087
25,26.665,581.9830000000001
26,27.730999999999998,568.173
27,28.798000000000002,572.553
28,29.864,980.25
29,30.930999999999997,1331.8270000000002
30,31.998,1598.483
31,33.064,1826.973
32,34.131,1943.1029999999998
33,35.196999999999996,2078.9970000000003
34,36.264,2124.92
35,37.33,2176.123
36,38.397,2197.54
37,39.464,2201.803
38,40.53,2206.6
39,41.597,2199.18
40,42.663000000000004,2186.46
41,43.73,2172.603
42,44.797,2120.893
43,45.863,2100.723
44,46.93,2066.46
45,47.996,2018.8670000000002
46,49.063,2010.223
47,50.129,1962.0870000000002
48,51.196000000000005,1931.1670000000001
49,52.263000000000005,1908.32
50,53.32899999999999,1865.8970000000002
51,54.396,1830.4
52,55.461999999999996,1789.55
53,56.528999999999996,1731.8970000000002
54,57.596000000000004,1712.3929999999998
55,58.662,1692.797
56,59.729,1659.13
57,60.795,1619.777
58,61.861999999999995,1625.99
59,62.928999999999995,1605.65
60,63.995,1583.14
61,65.062,1558.77
62,66.128,1524.12
63,67.195,1512.703
64,68.26100000000001,1498.3
65,69.328,1448.71
66,70.395,1444.0629999999999
67,71.461,1433.517
68,72.528,1405.48
69,73.594,1423.6270000000002
70,74.661,1424.85
71,75.72800000000001,1395.01
72,76.794,1370.533
73,77.861,1363.0529999999999
74,78.92699999999999,1327.6029999999998
75,79.994,1308.49
76,81.06,1302.697
77,82.12700000000001,1291.17
78,83.194,1275.313
79,84.26,1268.483
80,85.32700000000001,1246.927
81,86.39299999999999,1267.32
82,87.46,1255.81
83,88.527,1236.52
84,89.59299999999999,1220.9569999999999
85,90.66,1233.66
86,91.726,1210.44
87,92.79299999999999,1220.613
88,93.859,1201.157
89,94.926,1213.183
90,95.993,1210.553
91,97.059,1212.01
92,98.126,1211.737
93,99.19200000000001,1204.573
94,100.259,1186.193
95,101.32600000000001,1177.13
96,102.39200000000001,1162.597
97,103.459,1173.327
98,104.525,1153.583
99,105.59200000000001,1154.887
100,106.65799999999999,1140.343
101,107.725,1155.04
102,108.792,1130.903
103,109.85799999999999,1136.343
104,110.925,1109.82
105,111.991,1118.417
106,113.05799999999999,1112.7
107,114.125,1117.08
108,115.191,1113.27
109,116.258,1101.157
110,117.324,1103.797
111,118.391,1100.2269999999999
112,119.458,1100.4769999999999
113,120.524,1083.05
114,121.59100000000001,1070.937
115,122.65700000000001,1060.563
116,123.72399999999999,1050.647
117,124.79,1040.817
118,125.85700000000001,1050.32
119,126.92399999999999,1042.803
120,127.99,1045.5230000000001
121,129.05700000000002,1037.867
122,130.123,1035.497
123,131.19,1017.44
124,132.257,1011.87
125,133.32299999999998,1024.017
126,134.39,1016.077
127,135.45600000000002,1019.02
128,136.523,1027.18
129,137.589,1016.5
130,138.656,1019.2669999999999
131,139.72299999999998,1000.057
132,140.789,994.61
133,141.856,1011.443
134,142.922,994.04
135,143.989,984.013
136,145.056,1004.187
137,146.122,977.757
138,147.189,976.7669999999999
139,148.255,990.557
140,149.322,985.5
