,[sec],Mean
0,0.0,124.299
1,1.062,120.0245
2,2.125,121.7696
3,3.187,122.5024
4,4.249,122.3922
5,5.312,126.6618
6,6.374,121.3186
7,7.436,121.0074
8,8.499,123.4681
9,9.561,122.174
10,10.624,122.0245
11,11.686,120.6912
12,12.748,121.9412
13,13.811,123.3701
14,14.873,127.799
15,15.935,121.6226
16,16.998,117.7304
17,18.06,123.1226
18,19.122,124.652
19,20.185,121.723
20,21.247,124.6912
21,22.309,120.5221
22,23.372,121.0515
23,24.434,120.5662
24,25.497,126.5466
25,26.559,122.7623
26,27.621,121.5907
27,28.684,123.3113
28,29.746,121.9412
29,30.808000000000003,118.848
30,31.871,122.9093
31,32.933,122.076
32,33.995,122.7083
33,35.058,121.0907
34,36.12,123.299
35,37.181999999999995,120.5588
36,38.245,119.6642
37,39.306999999999995,122.6789
38,40.37,121.1961
39,41.431999999999995,123.174
40,42.494,121.7843
41,43.556999999999995,119.6103
42,44.619,122.3726
43,45.681000000000004,121.7157
44,46.744,125.2402
45,47.806000000000004,123.6716
46,48.868,123.3431
47,49.931000000000004,124.7451
48,50.993,121.0245
49,52.055,120.6863
50,53.118,119.2672
51,54.18,120.8333
52,55.243,119.2279
53,56.305,122.2598
54,57.367,123.1446
55,58.43,124.7255
56,59.492,122.9976
57,60.553999999999995,121.723
58,61.617,125.0564
59,62.678999999999995,119.4461
60,63.74100000000001,122.2451
61,64.804,118.4289
62,65.866,122.7206
63,66.928,127.0417
64,67.991,121.9412
65,69.053,120.25
66,70.116,123.8113
67,71.178,122.4877
68,72.24,122.2574
69,73.303,123.3505
70,74.365,127.1863
71,75.42699999999999,122.951
72,76.49,121.3064
73,77.55199999999999,120.0147
74,78.61399999999999,123.0147
75,79.67699999999999,125.2034
76,80.73899999999999,124.8284
77,81.801,121.826
78,82.86399999999999,126.1274
79,83.926,122.6348
80,84.98899999999999,126.0735
81,86.051,117.8676
82,87.113,122.6716
83,88.176,122.1274
84,89.238,123.8627
85,90.3,123.3284
86,91.363,118.4167
87,92.425,120.2598
88,93.48700000000001,124.8971
89,94.55,125.1103
90,95.61200000000001,123.2328
91,96.67399999999999,122.8015
92,97.73700000000001,121.2941
93,98.79899999999999,120.9534
94,99.861,123.4976
95,100.92399999999999,118.9926
96,101.986,122.2083
97,103.04899999999999,120.8015
98,104.111,124.7721
99,105.17299999999999,121.5392
100,106.236,124.5931
101,107.29799999999999,122.1176
102,108.36,122.0662
103,109.42299999999999,120.2647
104,110.485,123.0931
105,111.54700000000001,123.0
106,112.61,122.5049
107,113.67200000000001,120.3358
108,114.734,121.8971
109,115.79700000000001,121.6422
110,116.859,124.3039
111,117.92200000000001,121.9069
112,118.984,121.4191
113,120.046,122.5833
114,121.109,119.5907
115,122.171,121.6912
116,123.23299999999999,125.8064
117,124.296,120.625
118,125.35799999999999,121.4265
119,126.42,122.4191
120,127.48299999999999,118.7966
121,128.545,119.9559
122,129.607,120.125
123,130.67,121.6569
124,131.732,126.8799
125,132.795,118.0294
126,133.857,122.8701
127,134.91899999999998,121.076
128,135.982,122.5392
129,137.04399999999998,122.1961
130,138.106,121.5931
131,139.16899999999998,118.3505
132,140.231,121.6814
133,141.293,117.7623
134,142.356,122.9093
135,143.418,121.2721
136,144.48,120.7623
137,145.543,121.5245
138,146.605,122.8431
139,147.668,122.6789
140,148.73,118.0147
