,[sec],Mean
0,0.0,343.55400000000003
1,1.062,346.06699999999995
2,2.125,347.93800000000005
3,3.187,345.13599999999997
4,4.25,347.16
5,5.312,351.85900000000004
6,6.375,345.958
7,7.437,345.21
8,8.499,342.205
9,9.562000000000001,350.452
10,10.624,336.05300000000005
11,11.687000000000001,334.92800000000005
12,12.749,328.848
13,13.811,324.48900000000003
14,14.874,333.399
15,15.936,329.651
16,16.999000000000002,330.80800000000005
17,18.061,332.619
18,19.124000000000002,331.684
19,20.186,324.339
20,21.248,323.379
21,22.311,322.714
22,23.373,320.815
23,24.436,334.27
24,25.498,331.624
25,26.561,335.32300000000004
26,27.623,331.3
27,28.685,336.473
28,29.748,362.005
29,30.81,446.707
30,31.873,526.198
31,32.935,571.148
32,33.997,619.6669999999999
33,35.06,651.9119999999999
34,36.122,695.023
35,37.185,734.52
36,38.247,756.9839999999999
37,39.31,768.159
38,40.372,773.7410000000001
39,41.434,798.39
40,42.497,812.3810000000001
41,43.559,807.704
42,44.622,822.482
43,45.684,830.169
44,46.747,811.081
45,47.809,807.418
46,48.871,804.0260000000001
47,49.934,802.85
48,50.996,809.145
49,52.059,794.607
50,53.121,776.3810000000001
51,54.183,775.3580000000001
52,55.246,757.238
53,56.308,748.919
54,57.371,738.9010000000001
55,58.433,749.873
56,59.496,746.9860000000001
57,60.558,742.395
58,61.62,734.243
59,62.683,729.273
60,63.745,738.9580000000001
61,64.808,737.788
62,65.87,705.4889999999999
63,66.933,684.7130000000001
64,67.995,684.959
65,69.057,690.7410000000001
66,70.12,669.012
67,71.182,665.721
68,72.245,635.649
69,73.307,635.011
70,74.37,643.672
71,75.432,633.8480000000001
72,76.494,616.744
73,77.557,626.8240000000001
74,78.619,615.649
75,79.682,607.825
76,80.744,612.575
77,81.806,579.0409999999999
78,82.869,575.9169999999999
79,83.931,560.206
80,84.994,565.134
81,86.056,564.048
82,87.119,557.016
83,88.181,560.91
84,89.243,565.339
85,90.306,555.922
86,91.368,553.1709999999999
87,92.431,551.349
88,93.493,548.25
89,94.556,540.653
90,95.618,547.141
91,96.68,543.275
92,97.743,551.8240000000001
93,98.805,536.526
94,99.868,537.004
95,100.93,530.7719999999999
96,101.992,532.49
97,103.055,537.619
98,104.117,538.884
99,105.18,543.817
100,106.242,531.379
101,107.305,531.778
102,108.367,530.0740000000001
103,109.429,536.312
104,110.492,514.653
105,111.554,517.564
106,112.617,525.312
107,113.679,530.062
108,114.742,532.406
109,115.804,535.22
110,116.866,530.503
111,117.929,531.677
112,118.991,525.085
113,120.054,534.134
114,121.116,534.014
115,122.178,527.021
116,123.241,533.102
117,124.303,534.961
118,125.366,537.374
119,126.428,537.115
120,127.491,547.347
121,128.553,551.03
122,129.615,546.0740000000001
123,130.678,538.067
124,131.74,533.425
125,132.803,531.178
126,133.865,524.566
127,134.928,520.437
128,135.99,531.7
129,137.05200000000002,517.727
130,138.115,528.384
131,139.17700000000002,543.711
132,140.24,551.437
133,141.30200000000002,563.4
134,142.364,560.845
135,143.42700000000002,549.705
136,144.489,546.189
137,145.55200000000002,544.984
138,146.614,531.885
139,147.67700000000002,531.769
140,148.739,536.143
