,[sec],Mean
0,0.0,1182.428
1,1.0659999999999998,1158.557
2,2.1319999999999997,1183.316
3,3.199,1226.995
4,4.265,1204.95
5,5.331,1183.378
6,6.397,1170.904
7,7.462999999999999,1157.1589999999999
8,8.53,1168.851
9,9.596,1139.131
10,10.662,1153.8039999999999
11,11.728,1153.271
12,12.794,1154.3519999999999
13,13.860999999999999,1127.524
14,14.927,1102.8210000000001
15,15.993,1080.0810000000001
16,17.059,1087.935
17,18.125999999999998,1064.465
18,19.192,1085.589
19,20.258,1068.41
20,21.324,1076.295
21,22.39,1054.435
22,23.456999999999997,1065.242
23,24.523000000000003,1080.004
24,25.589000000000002,1088.917
25,26.655,1048.718
26,27.721,1049.31
27,28.788,1065.867
28,29.854,1158.223
29,30.92,1267.502
30,31.986,1349.316
31,33.052,1380.3120000000001
32,34.119,1388.354
33,35.185,1423.9720000000002
34,36.251,1468.48
35,37.317,1450.769
36,38.383,1468.705
37,39.45,1481.271
38,40.516,1517.5829999999999
39,41.582,1519.8039999999999
40,42.648,1518.9189999999999
41,43.714,1526.614
42,44.781000000000006,1514.836
43,45.847,1498.358
44,46.913000000000004,1578.4720000000002
45,47.979,1552.332
46,49.045,1548.5610000000001
47,50.111999999999995,1554.854
48,51.178000000000004,1545.364
49,52.244,1517.358
50,53.31,1526.661
51,54.376999999999995,1524.1589999999999
52,55.443000000000005,1489.7920000000001
53,56.50899999999999,1484.415
54,57.575,1515.631
55,58.641000000000005,1554.098
56,59.708,1538.531
57,60.773999999999994,1524.3120000000001
58,61.84,1577.5179999999998
59,62.906000000000006,1515.0610000000001
60,63.972,1536.76
61,65.039,1551.7079999999999
62,66.105,1528.8039999999999
63,67.171,1514.672
64,68.237,1501.299
65,69.303,1515.86
66,70.37,1510.721
67,71.436,1507.852
68,72.502,1472.491
69,73.568,1496.151
70,74.634,1506.965
71,75.70100000000001,1504.319
72,76.767,1471.5279999999998
73,77.833,1482.875
74,78.899,1461.987
75,79.965,1505.384
76,81.032,1507.098
77,82.098,1458.941
78,83.164,1484.59
79,84.23,1442.729
80,85.296,1466.26
81,86.363,1469.013
82,87.429,1465.411
83,88.495,1423.6570000000002
84,89.561,1406.79
85,90.62799999999999,1413.535
86,91.694,1434.2160000000001
87,92.76,1424.6989999999998
88,93.82600000000001,1405.945
89,94.89200000000001,1383.496
90,95.959,1377.316
91,97.025,1371.015
92,98.09100000000001,1400.079
93,99.15700000000001,1395.889
94,100.223,1380.963
95,101.29,1403.7160000000001
96,102.35600000000001,1380.0179999999998
97,103.42200000000001,1390.007
98,104.488,1377.2179999999998
99,105.554,1352.135
100,106.62100000000001,1341.684
101,107.68700000000001,1346.655
102,108.75299999999999,1360.7160000000001
103,109.819,1385.094
104,110.885,1376.854
105,111.95200000000001,1399.4
106,113.01799999999999,1403.1970000000001
107,114.084,1430.317
108,115.15,1450.515
109,116.21600000000001,1461.6529999999998
110,117.28299999999999,1466.2379999999998
111,118.34899999999999,1424.1770000000001
112,119.415,1451.7920000000001
113,120.48100000000001,1487.149
114,121.54700000000001,1457.7579999999998
115,122.61399999999999,1491.31
116,123.68,1473.144
117,124.74600000000001,1474.816
118,125.81200000000001,1452.024
119,126.87899999999999,1443.035
120,127.945,1443.48
121,129.011,1412.149
122,130.077,1431.386
123,131.143,1428.806
124,132.21,1420.714
125,133.276,1431.664
126,134.342,1413.9779999999998
127,135.408,1374.092
128,136.474,1365.098
129,137.541,1377.91
130,138.607,1358.517
131,139.673,1352.21
132,140.739,1341.092
133,141.805,1374.736
134,142.872,1359.7579999999998
135,143.938,1353.22
136,145.004,1365.9170000000001
137,146.07,1366.989
138,147.136,1345.766
139,148.203,1355.675
140,149.269,1355.406
