,[sec],Mean
0,0.0,57.1989
1,1.102,57.1103
2,2.204,56.9025
3,3.306,56.6813
4,4.407,56.759
5,5.5089999999999995,56.7262
6,6.611000000000001,56.609
7,7.712999999999999,56.7041
8,8.815,56.6903
9,9.917,56.7038
10,11.019,56.2499
11,12.120999999999999,56.4668
12,13.222000000000001,56.2845
13,14.324000000000002,56.0987
14,15.425999999999998,56.0586
15,16.528,55.9054
16,17.63,56.0356
17,18.732,56.1324
18,19.834,56.0812
19,20.935,55.988
20,22.037,56.1511
21,23.139,56.2189
22,24.241,56.3798
23,25.343000000000004,56.5769
24,26.445,56.6145
25,27.546999999999997,56.816
26,28.648000000000003,56.7006
27,29.75,57.5583
28,30.851999999999997,57.5765
29,31.954,57.8085
30,33.056,64.4324
31,34.158,72.8283
32,35.26,71.8134
33,36.361999999999995,70.6801
34,37.463,70.0546
35,38.565,69.82
36,39.667,71.6475
37,40.769,90.8309
38,41.871,89.4563
39,42.973,87.7724
40,44.075,86.3869
41,45.176,85.334
42,46.278,84.2935
43,47.38,104.2733
44,48.482,103.02
45,49.583999999999996,101.0682
46,50.68600000000001,116.4288
47,51.788000000000004,116.1534
48,52.89,126.1296
49,53.99100000000001,126.6469
50,55.093,134.8548
51,56.195,132.1973
52,57.297,139.4455
53,58.398999999999994,143.5918
54,59.501000000000005,143.2203
55,60.603,144.5001
56,61.70399999999999,146.5753
57,62.806000000000004,145.5299
58,63.908,140.9434
59,65.01,144.4821
60,66.112,139.388
61,67.214,143.6181
62,68.316,138.7955
63,69.417,133.4978
64,70.51899999999999,128.6445
65,71.62100000000001,134.1775
66,72.723,129.2354
67,73.825,124.7031
68,74.92699999999999,120.0548
69,76.029,115.8167
70,77.131,112.1461
71,78.232,108.3226
72,79.334,105.1302
73,80.436,102.0673
74,81.538,99.0671
75,82.64,96.2048
76,83.742,93.5212
77,84.844,91.1645
78,85.945,89.0219
79,87.04700000000001,86.7203
80,88.149,84.839
81,89.251,82.7782
82,90.353,80.5139
83,91.455,78.9293
84,92.557,77.2645
85,93.65899999999999,75.7248
86,94.76,74.6124
87,95.86200000000001,73.2968
88,96.964,72.2335
89,98.066,71.1026
90,99.16799999999999,69.902
91,100.27,68.92
92,101.37200000000001,68.0835
93,102.473,67.1956
94,103.575,66.4104
95,104.677,65.5248
96,105.779,64.6965
97,106.881,64.0178
98,107.98299999999999,63.2143
99,109.085,63.1496
100,110.186,62.4731
101,111.288,61.9991
102,112.39,61.8209
103,113.492,61.2316
104,114.594,60.587
105,115.696,60.1046
106,116.79799999999999,59.5733
107,117.9,58.9446
108,119.001,70.795
109,120.103,69.8153
110,121.205,68.456
111,122.307,67.0901
112,123.40899999999999,83.2935
113,124.51100000000001,82.7148
114,125.613,82.6632
115,126.714,96.8584
116,127.816,94.9907
117,128.918,108.1269
118,130.02,117.6998
119,131.122,121.6328
120,132.224,123.6973
121,133.326,129.4195
122,134.428,133.9648
123,135.529,136.6374
124,136.631,134.3078
125,137.733,137.9073
126,138.835,135.0816
127,139.937,137.3098
128,141.039,132.9895
129,142.141,138.0076
130,143.24200000000002,133.4368
131,144.344,128.4786
132,145.446,134.2529
133,146.548,130.4208
134,147.65,125.5197
135,148.752,121.2994
136,149.85399999999998,117.7781
137,150.955,113.9485
138,152.05700000000002,110.2816
139,153.159,107.1572
140,154.261,96.2119
141,155.363,93.6204
142,156.465,91.1222
143,157.567,88.9384
144,158.66899999999998,86.5744
145,159.77,84.7581
146,160.872,82.7742
147,161.974,80.7057
148,163.076,78.96
149,164.178,77.2383
150,165.28,75.9716
151,166.382,74.5298
152,167.483,73.1836
153,168.585,71.9147
154,169.687,70.7172
155,170.78900000000002,69.6275
156,171.891,68.5476
157,172.993,67.6573
158,174.095,66.7897
159,175.197,65.7692
160,176.298,65.1817
161,177.4,64.3476
162,178.502,63.8296
163,179.604,63.1959
164,180.706,62.8448
165,181.808,62.1151
166,182.91,61.8527
167,184.011,61.2518
168,185.113,60.8463
169,186.215,60.4481
170,187.317,60.1586
171,188.419,60.089
172,189.521,60.012
173,190.623,59.7697
174,191.72400000000002,59.9614
175,192.826,59.7053
176,193.928,59.9485
177,195.03,59.9312
178,196.132,59.645
179,197.234,59.726
180,198.33599999999998,59.5591
181,199.438,59.2958
182,200.53900000000002,59.3579
183,201.641,59.2479
184,202.743,59.1569
185,203.845,58.7588
186,204.947,58.4929
187,206.049,58.3697
188,207.15099999999998,58.4476
189,208.252,58.3344
190,209.354,58.0772
191,210.456,58.0771
192,211.558,58.1238
193,212.66,57.9696
194,213.762,57.7673
195,214.864,58.0578
196,215.965,57.8809
197,217.067,57.6892
198,218.169,57.4057
199,219.271,57.1717
200,220.373,57.2177
201,221.475,56.9378
202,222.577,56.6373
203,223.679,56.5145
204,224.78,56.525
205,225.882,56.5148
206,226.984,56.3707
207,228.08599999999998,56.2605
208,229.188,56.2615
209,230.29,56.2278
210,231.392,56.3072
211,232.493,56.3319
212,233.595,56.2817
213,234.697,56.1939
214,235.799,56.1222
215,236.90099999999998,56.2133
216,238.003,56.227
217,239.105,55.9138
218,240.207,55.7724
219,241.308,55.6767
220,242.41,55.6213
221,243.512,55.7146
222,244.614,55.4099
223,245.71599999999998,55.2402
224,246.81799999999998,55.4978
225,247.92,55.4269
226,249.021,55.0068
227,250.123,55.1681
228,251.225,55.2326
229,252.327,55.1149
230,253.429,55.1249
231,254.53099999999998,54.868
232,255.63299999999998,54.9032
233,256.73400000000004,67.5903
234,257.836,67.8622
235,258.938,66.2815
236,260.04,65.5155
237,261.142,64.6177
238,262.244,63.9094
239,263.346,63.1025
240,264.448,62.6086
241,265.54900000000004,62.0687
242,266.651,61.6446
243,267.753,61.5372
244,268.855,61.1169
245,269.957,60.8653
246,271.059,60.7016
247,272.161,60.0997
248,273.262,59.8869
249,274.36400000000003,59.3708
250,275.466,58.859
251,276.568,58.9436
252,277.67,67.4778
253,278.772,75.6764
254,279.874,73.9859
255,280.976,72.3786
256,282.077,70.9363
257,283.17900000000003,69.7897
258,284.281,68.8961
259,285.383,86.2768
260,286.485,86.2463
261,287.587,83.9669
262,288.689,81.9507
263,289.79,97.7922
264,290.892,95.9575
265,291.994,99.9493
266,293.096,110.1301
267,294.198,118.6631
268,295.3,114.7347
269,296.402,121.5989
270,297.504,118.0564
271,298.605,124.2767
272,299.707,120.3254
