,[sec],Mean
0,0.0,79.9332
1,1.103,80.1645
2,2.206,80.4302
3,3.3080000000000003,80.2469
4,4.4110000000000005,80.4429
5,5.513999999999999,80.5194
6,6.617000000000001,80.7446
7,7.72,81.0894
8,8.823,80.9876
9,9.925,80.7036
10,11.027999999999999,80.5879
11,12.130999999999998,80.527
12,13.234000000000002,80.5988
13,14.337,80.5285
14,15.44,80.5793
15,16.542,80.5603
16,17.645,80.7791
17,18.748,80.5144
18,19.851,80.4904
19,20.954,80.7961
20,22.055999999999997,80.8905
21,23.159000000000002,81.5142
22,24.261999999999997,81.4097
23,25.365,81.5792
24,26.468000000000004,81.2036
25,27.570999999999998,80.7868
26,28.673000000000002,80.4819
27,29.776,80.4532
28,30.879,80.2723
29,31.982,80.284
30,33.085,80.5556
31,34.188,80.4568
32,35.29,80.3654
33,36.393,80.3419
34,37.496,80.1161
35,38.599000000000004,80.1527
36,39.702,80.4659
37,40.804,80.3226
38,41.907,80.6553
39,43.01,80.7597
40,44.113,81.0021
41,45.216,80.8405
42,46.318999999999996,80.8459
43,47.42100000000001,80.7485
44,48.523999999999994,80.6663
45,49.626999999999995,80.9172
46,50.73,80.6354
47,51.833,80.8728
48,52.93600000000001,81.0231
49,54.038000000000004,80.8794
50,55.141000000000005,80.9971
51,56.244,80.819
52,57.347,80.8765
53,58.45,80.847
54,59.552,80.8061
55,60.655,80.8875
56,61.758,78.4376
57,62.861000000000004,78.3786
58,63.964,78.2929
59,65.067,78.1079
60,66.169,77.7911
61,67.27199999999999,77.7969
62,68.375,77.9376
63,69.47800000000001,77.9344
64,70.581,77.9027
65,71.683,77.6515
66,72.786,77.7109
67,73.889,77.6276
68,74.992,77.7583
69,76.095,77.7747
70,77.19800000000001,77.772
71,78.3,77.4946
72,79.403,77.6051
73,80.506,77.7905
74,81.609,77.7774
75,82.712,78.0188
76,83.815,77.6902
77,84.917,77.7708
78,86.02,77.969
79,87.12299999999999,77.8253
80,88.226,77.5059
81,89.329,77.7889
82,90.431,77.5583
83,91.53399999999999,77.7641
84,92.637,77.9182
85,93.74,77.8893
86,94.84299999999999,77.9778
87,95.946,78.1234
88,97.04799999999999,78.2287
89,98.15100000000001,78.3706
90,99.25399999999999,78.5327
91,100.35700000000001,78.7191
92,101.46,78.7664
93,102.56299999999999,78.9819
94,103.665,78.7212
95,104.76799999999999,78.5551
96,105.87100000000001,78.608
97,106.97399999999999,78.8327
98,108.07700000000001,78.9601
99,109.179,78.6114
100,110.28200000000001,78.5173
101,111.385,78.7393
102,112.488,78.6179
103,113.59100000000001,78.6736
104,114.694,78.8752
105,115.796,79.5444
106,116.899,79.3635
107,118.00200000000001,79.3573
108,119.105,79.2459
109,120.208,79.1767
110,121.311,79.0739
111,122.413,78.9596
112,123.516,78.9813
113,124.619,79.0009
114,125.72200000000001,79.0146
115,126.825,79.0895
116,127.927,79.5452
117,129.03,79.6183
118,130.13299999999998,79.5247
119,131.236,79.263
120,132.339,78.9927
121,133.442,78.9424
122,134.54399999999998,78.9607
