,[sec],Mean
0,0.0,1163.4769999999999
1,0.508,1163.838
2,1.0159,1129.4769999999999
3,1.5239,1113.849
4,2.0318,1079.306
5,2.5398,1086.535
6,3.0477,1062.065
7,3.5557,1438.8529999999998
8,4.0636,1488.41
9,4.5716,1475.91
10,5.0795,1459.4920000000002
11,5.5875,1417.45
12,6.0954,1355.088
13,6.6034,1311.224
14,7.1113,1272.515
15,7.6193,1224.836
16,8.1273,1206.386
17,8.6352,1169.205
18,9.1432,1128.825
19,9.6511,1099.194
20,10.1591,882.16
21,10.667,833.383
22,11.175,825.571
23,11.6829,791.311
24,12.1909,769.99
25,12.6988,735.908
26,13.2068,711.988
27,13.7147,697.99
28,14.2227,678.9730000000001
29,14.7307,676.1619999999999
30,15.2386,663.117
31,15.7466,635.836
32,16.2545,644.238
33,16.7625,637.391
34,17.2704,638.6619999999999
35,17.7784,645.924
36,18.2863,670.9580000000001
37,18.7943,677.515
38,19.3022,693.628
39,19.8102,730.197
40,20.3181,747.0239999999999
41,20.8261,771.564
42,21.334,798.064
43,21.842,829.192
44,22.35,874.288
45,22.8579,911.4839999999999
46,23.3659,968.819
47,23.8738,1009.395
48,24.3818,1037.312
49,24.8897,1092.538
50,25.3977,1140.7089999999998
51,25.9056,1178.4360000000001
52,26.4136,1242.226
53,26.9215,1285.906
54,27.4295,1323.98
55,27.9374,1402.38
56,28.4454,1446.485
57,28.9534,1522.027
58,29.4613,1593.424
59,29.9693,1637.537
60,30.4772,1706.122
61,30.9852,1776.391
62,31.4931,1870.465
63,32.0011,1935.0639999999999
64,32.509,2006.016
65,33.017,2054.667
66,33.5249,2075.542
67,34.0329,2165.255
68,34.5408,2213.22
69,35.0488,2252.444
70,35.5567,2300.692
71,36.0647,2329.429
72,36.5727,2367.326
73,37.0806,2358.772
74,37.5886,2378.219
75,38.0965,2357.712
76,38.6045,2357.274
77,39.1124,2382.3379999999997
78,39.6204,2359.9120000000003
79,40.1283,2349.577
80,40.6363,2318.784
81,41.1442,2285.673
82,41.6522,2240.715
83,42.1601,2244.5429999999997
84,42.6681,2204.451
85,43.176,2138.363
86,43.684,2098.783
87,44.192,2103.012
88,44.6999,2056.0
89,45.2079,2019.971
90,45.7158,1984.9229999999998
91,46.2238,1916.727
92,46.7317,1934.454
93,47.2397,1840.0079999999998
94,47.7476,1788.389
95,48.2556,1762.632
96,48.7635,1685.124
97,49.2715,1657.1329999999998
98,49.7794,1600.124
99,50.2874,1556.895
100,50.7954,1507.152
101,51.3033,1452.501
102,51.8113,1404.621
103,52.3192,1361.145
104,52.8272,1304.531
105,53.3351,1256.883
106,53.8431,1207.067
107,54.351,1173.98
108,54.859,1128.022
109,55.3669,1078.1589999999999
110,55.8749,1050.106
111,56.3828,1009.7460000000001
112,56.8908,976.957
113,57.3987,934.658
114,57.9067,913.346
115,58.4147,891.4580000000001
116,58.9226,866.773
117,59.4306,844.317
118,59.9385,823.052
119,60.4465,778.14
120,60.9544,761.0419999999999
121,61.4624,731.372
122,61.9703,722.308
123,62.4783,679.8739999999999
124,62.9862,662.262
125,63.4942,631.5219999999999
126,64.0021,618.382
127,64.5101,606.7869999999999
128,65.0181,571.61
129,65.526,575.7040000000001
130,66.034,560.183
131,66.5419,539.649
132,67.0499,530.628
133,67.5578,514.784
134,68.0658,497.31800000000004
135,68.5737,483.048
136,69.0817,471.92900000000003
137,69.5896,465.931
138,70.0976,448.181
139,70.6055,453.26099999999997
