,[sec],Mean
0,0.0,921.199
1,0.508,912.957
2,1.016,906.982
3,1.5241,898.1210000000001
4,2.0321,891.7719999999999
5,2.5401,887.448
6,3.0481,877.2610000000001
7,3.5561,882.9689999999999
8,4.0642,872.395
9,4.5722,876.445
10,5.0802,871.7510000000001
11,5.5882,861.182
12,6.0962,851.94
13,6.6042,861.051
14,7.1123,854.8639999999999
15,7.6203,856.832
16,8.1283,845.393
17,8.6363,834.8989999999999
18,9.1443,843.055
19,9.6524,841.8530000000001
20,10.1604,703.4860000000001
21,10.6684,710.554
22,11.1764,704.007
23,11.6844,712.966
24,12.1925,709.865
25,12.7005,711.922
26,13.2085,707.959
27,13.7165,713.159
28,14.2245,718.023
29,14.7326,725.7339999999999
30,15.2406,741.422
31,15.7486,756.655
32,16.2566,793.8530000000001
33,16.7646,838.222
34,17.2726,889.387
35,17.7807,933.7230000000001
36,18.2887,986.797
37,18.7967,1048.142
38,19.3047,1101.509
39,19.8127,1172.5910000000001
40,20.3208,1236.5610000000001
41,20.8288,1286.174
42,21.3368,1347.7
43,21.8448,1405.816
44,22.3528,1454.651
45,22.8609,1508.098
46,23.3689,1542.582
47,23.8769,1599.297
48,24.3849,1625.989
49,24.8929,1660.058
50,25.401,1673.963
51,25.909,1700.765
52,26.417,1717.531
53,26.925,1734.3339999999998
54,27.433,1744.191
55,27.941,1743.6729999999998
56,28.4491,1744.4520000000002
57,28.9571,1749.6670000000001
58,29.4651,1737.723
59,29.9731,1743.264
60,30.4811,1749.001
61,30.9892,1719.1760000000002
62,31.4972,1723.267
63,32.0052,1708.22
64,32.5132,1704.4
65,33.0212,1667.6329999999998
66,33.5293,1691.381
67,34.0373,1656.786
68,34.5453,1636.15
69,35.0533,1626.39
70,35.5613,1609.0
71,36.0694,1581.421
72,36.5774,1569.122
73,37.0854,1538.963
74,37.5934,1526.1760000000002
75,38.1014,1492.9129999999998
76,38.6095,1471.0729999999999
77,39.1175,1445.19
78,39.6255,1435.568
79,40.1335,1396.884
80,40.6415,1372.828
81,41.1495,1350.904
82,41.6576,1330.945
83,42.1656,1317.817
84,42.6736,1290.665
85,43.1816,1276.63
86,43.6896,1246.701
87,44.1977,1223.055
88,44.7057,1208.65
89,45.2137,1192.46
90,45.7217,1169.355
91,46.2297,1147.37
92,46.7378,1129.846
93,47.2458,1109.379
94,47.7538,1095.28
95,48.2618,1081.79
96,48.7698,1056.983
97,49.2779,1041.2169999999999
98,49.7859,1025.911
99,50.2939,1027.594
100,50.8019,1006.712
101,51.3099,1002.7810000000001
102,51.8179,985.35
103,52.326,972.495
104,52.834,967.041
105,53.342,947.915
106,53.85,933.6519999999999
107,54.358,933.867
108,54.8661,915.967
109,55.3741,911.6510000000001
110,55.8821,896.982
111,56.3901,878.587
112,56.8981,873.622
113,57.4062,863.635
114,57.9142,854.432
115,58.4222,844.122
116,58.9302,834.815
117,59.4382,833.087
118,59.9463,816.373
119,60.4543,803.5310000000001
120,60.9623,797.454
121,61.4703,785.623
122,61.9783,791.0360000000001
123,62.4863,777.3489999999999
124,62.9944,771.235
125,63.5024,763.546
126,64.0104,756.7710000000001
127,64.5184,748.2080000000001
128,65.0264,744.24
129,65.5345,743.449
130,66.0425,733.13
131,66.5505,731.778
132,67.0585,725.817
133,67.5665,718.196
134,68.0746,722.961
135,68.5826,716.1510000000001
136,69.0906,718.051
137,69.5986,713.1139999999999
138,70.1066,714.887
139,70.6147,714.8610000000001
