,[sec],Mean
0,0.0,507.531
1,1.0717,508.278
2,2.1434,515.1519999999999
3,3.2151,507.336
4,4.2868,504.78
5,5.3585,507.369
6,6.4302,509.944
7,7.5019,507.27
8,8.5735,510.647
9,9.6452,512.252
10,10.7169,515.559
11,11.7886,511.7
12,12.8603,503.82099999999997
13,13.932,502.474
14,15.0037,503.904
15,16.0754,504.458
16,17.1471,501.07599999999996
17,18.2188,495.342
18,19.2905,495.404
19,20.3622,488.834
20,21.4339,487.75800000000004
21,22.5056,484.904
22,23.5773,489.199
23,24.6489,488.744
24,25.7206,490.00699999999995
25,26.7923,485.639
26,27.864,497.20599999999996
27,28.9357,492.16900000000004
28,30.0074,517.816
29,31.0791,543.7919999999999
30,32.1508,575.9169999999999
31,33.2225,591.965
32,34.2942,607.192
33,35.3659,618.75
34,36.4376,639.498
35,37.5093,642.871
36,38.581,648.944
37,39.6527,658.898
38,40.7243,661.7330000000001
39,41.796,670.09
40,42.8677,667.216
41,43.9394,675.179
42,45.0111,698.58
43,46.0828,690.5210000000001
44,47.1545,687.837
45,48.2262,700.585
46,49.2979,716.7860000000001
47,50.3696,734.5039999999999
48,51.4413,747.7669999999999
49,52.513,747.185
50,53.5847,761.575
51,54.6564,791.279
52,55.7281,783.582
53,56.7997,781.523
54,57.8714,786.044
55,58.9431,782.1
56,60.0148,775.035
57,61.0865,766.949
58,62.1582,775.082
59,63.2299,759.414
60,64.3016,764.73
61,65.3733,755.201
62,66.445,743.828
63,67.5167,739.5319999999999
64,68.5884,724.1460000000001
65,69.6601,730.118
66,70.7318,742.591
67,71.8035,726.691
68,72.8751,726.758
69,73.9468,723.58
70,75.0185,727.9010000000001
71,76.0902,723.446
72,77.1619,727.29
73,78.2336,751.477
74,79.3053,755.543
75,80.377,747.5830000000001
76,81.4487,753.867
77,82.5204,760.309
78,83.5921,769.2689999999999
79,84.6638,756.3589999999999
80,85.7355,772.414
81,86.8072,767.6389999999999
82,87.8789,769.363
83,88.9505,759.928
