,[sec],Mean
0,0.0,240.0607
1,1.0659999999999998,241.7935
2,2.1319999999999997,240.9717
3,3.198,240.6093
4,4.263999999999999,241.7126
5,5.33,241.1154
6,6.396,239.8846
7,7.462000000000001,236.4069
8,8.527999999999999,240.5243
9,9.593,238.1781
10,10.659,242.4919
11,11.725,240.7247
12,12.790999999999999,239.332
13,13.857000000000001,241.3644
14,14.923,240.0567
15,15.989,241.5162
16,17.055,242.0648
17,18.121,241.3684
18,19.187,239.5607
19,20.253,241.1802
20,21.319000000000003,240.998
21,22.385,243.7429
22,23.451,242.6215
23,24.517,242.9534
24,25.583000000000002,241.6802
25,26.649,245.0951
26,27.715,239.7449
27,28.78,241.5243
28,29.846,242.1154
29,30.912,237.2267
30,31.978,237.3644
31,33.044000000000004,235.3117
32,34.11,239.002
33,35.176,237.5668
34,36.242,239.5405
35,37.308,239.8097
36,38.374,246.2328
37,39.44,243.1336
38,40.506,245.1498
39,41.571999999999996,247.5364
40,42.638000000000005,246.5911
41,43.70399999999999,247.17
42,44.77,248.8036
43,45.836000000000006,246.7065
44,46.901,247.3219
45,47.967,247.1964
46,49.033,248.5567
47,50.099,249.9028
48,51.165,248.0628
49,52.231,245.5466
50,53.297,251.996
51,54.363,250.2024
52,55.428999999999995,247.0486
53,56.495,244.6579
54,57.56100000000001,246.8401
55,58.626999999999995,247.6397
56,59.693000000000005,245.0911
57,60.75899999999999,245.6741
58,61.825,249.1194
59,62.891000000000005,247.9089
60,63.957,250.3846
61,65.02199999999999,249.1741
62,66.08800000000001,247.0425
63,67.154,247.6154
64,68.22,251.0243
65,69.286,251.3907
66,70.352,250.3927
67,71.418,253.7227
68,72.484,251.8826
69,73.55,253.917
70,74.616,253.168
71,75.682,252.2146
72,76.748,253.0223
73,77.814,252.1134
74,78.88,252.6316
75,79.946,251.1822
76,81.012,250.7429
77,82.07799999999999,250.7409
78,83.14399999999999,251.33
79,84.209,251.6154
80,85.275,253.2227
81,86.34100000000001,254.4838
82,87.40700000000001,255.17
83,88.473,254.8542
84,89.539,256.0688
85,90.605,260.1215
86,91.671,259.1356
87,92.73700000000001,259.2996
88,93.803,258.0526
89,94.869,259.5526
90,95.935,258.251
91,97.001,260.9595
92,98.06700000000001,259.9798
93,99.133,258.7935
94,100.199,256.2571
95,101.265,255.9231
96,102.33,259.0101
97,103.396,260.7874
98,104.462,261.3947
99,105.52799999999999,255.7955
100,106.594,256.1174
101,107.66,258.9656
102,108.726,257.834
103,109.792,258.4595
104,110.85799999999999,258.5992
105,111.92399999999999,257.9716
106,112.99,262.2672
107,114.056,259.83
108,115.12200000000001,257.2045
109,116.18799999999999,259.1781
110,117.25399999999999,260.0466
111,118.32,258.4474
112,119.38600000000001,259.7105
113,120.45100000000001,257.164
114,121.51700000000001,259.7571
115,122.583,260.1984
116,123.649,260.4494
117,124.715,260.6599
118,125.781,260.3097
119,126.84700000000001,259.2267
120,127.913,261.6053
121,128.97899999999998,260.9393
122,130.045,258.8138
123,131.111,256.9514
124,132.17700000000002,260.1356
125,133.243,256.2288
126,134.309,261.8198
127,135.375,259.9494
128,136.441,258.7186
129,137.507,260.1295
130,138.57299999999998,261.5
131,139.638,261.4534
132,140.704,261.7146
133,141.77,263.002
134,142.836,260.1538
135,143.90200000000002,260.8502
136,144.968,261.1032
137,146.034,261.6538
138,147.1,258.3502
139,148.166,259.9048
140,149.232,260.7895
