,[sec],Mean
0,0.0,213.818
1,1.012,212.7412
2,2.024,214.4386
3,3.037,214.0746
4,4.0489999999999995,211.0548
5,5.061,214.8421
6,6.0729999999999995,214.2654
7,7.085,211.9671
8,8.097999999999999,212.9518
9,9.11,211.8246
10,10.122,214.1623
11,11.134,213.1886
12,12.145999999999999,211.1404
13,13.159,211.3268
14,14.171,214.4013
15,15.183,215.0811
16,16.195,211.8838
17,17.207,212.3618
18,18.219,212.1031
19,19.232,211.9276
20,20.244,211.4605
21,21.256,216.2237
22,22.268,212.3706
23,23.28,210.6316
24,24.293000000000003,215.1031
25,25.305,214.2697
26,26.316999999999997,213.4649
27,27.329,211.0592
28,28.340999999999998,214.1316
29,29.354,213.9781
30,30.366,210.8553
31,31.378,212.3553
32,32.39,212.8947
33,33.402,213.114
34,34.415,212.4386
35,35.427,214.7588
36,36.439,211.7478
37,37.451,212.0154
38,38.463,211.1711
39,39.476,212.2434
40,40.488,213.2237
41,41.5,206.8114
42,42.512,211.5088
43,43.523999999999994,212.6974
44,44.537,211.1206
45,45.549,210.9276
46,46.56100000000001,210.3947
47,47.573,209.3794
48,48.585,210.5329
49,49.597,211.8904
50,50.61,211.0943
51,51.622,211.3816
52,52.63399999999999,209.7456
53,53.646,211.9715
54,54.658,211.0
55,55.67100000000001,211.2917
56,56.683,209.3662
57,57.695,210.1447
58,58.707,209.3092
59,59.718999999999994,208.9189
60,60.732,210.8772
61,61.744,213.5241
62,62.756,211.1469
63,63.768,210.0373
64,64.78,208.6842
65,65.793,210.4956
66,66.805,209.7982
67,67.817,212.9978
68,68.829,213.0132
69,69.84100000000001,209.2346
70,70.854,210.6096
71,71.866,212.7851
72,72.878,211.6645
73,73.89,209.9101
74,74.902,209.4342
75,75.915,208.9342
76,76.92699999999999,211.2632
77,77.939,211.7303
78,78.95100000000001,210.1447
79,79.96300000000001,211.2193
80,80.976,211.7303
81,81.988,209.1667
82,83.0,208.4342
83,84.012,211.1645
84,85.024,210.875
85,86.036,211.5329
86,87.04899999999999,209.3618
87,88.061,212.0307
88,89.073,210.5307
89,90.085,212.5066
90,91.09700000000001,211.1601
91,92.11,209.5417
92,93.12200000000001,212.5768
93,94.134,206.4781
94,95.146,215.1535
95,96.15799999999999,211.3684
96,97.171,209.3377
97,98.18299999999999,208.182
98,99.195,210.4276
99,100.20700000000001,211.5504
100,101.219,208.5746
101,102.23200000000001,210.6667
102,103.244,207.0658
103,104.256,209.6184
104,105.26799999999999,213.2346
105,106.28,212.1513
106,107.29299999999999,211.2566
107,108.305,208.3158
108,109.31700000000001,210.7303
109,110.329,213.0768
110,111.34100000000001,215.6754
111,112.354,211.1118
112,113.366,213.0614
113,114.37799999999999,212.7018
114,115.39,213.5614
115,116.402,208.9254
116,117.414,212.1864
117,118.427,208.5899
118,119.439,214.8311
119,120.45100000000001,209.8596
120,121.463,209.5658
121,122.475,212.1447
122,123.488,210.3158
123,124.5,210.0833
124,125.512,210.5877
125,126.524,213.4715
126,127.536,214.375
127,128.549,210.807
128,129.561,212.989
129,130.57299999999998,212.25
130,131.585,212.2851
131,132.597,214.4364
132,133.61,212.2346
133,134.622,214.1908
134,135.634,213.7456
135,136.64600000000002,213.2982
136,137.658,213.7237
137,138.671,214.443
138,139.683,211.8684
139,140.695,212.932
140,141.707,213.7237
141,142.719,213.5329
142,143.732,213.1382
143,144.744,215.1974
144,145.756,211.3509
145,146.768,212.6118
146,147.78,217.1096
147,148.792,212.6908
